indice_tiempo,jubilaciones_sipa_transparencia,pensiones_sipa_transparencia,jubilaciones_pensiones_sipa,asignacion_familiar_hijo_hijo_discapacitado,asignacion_familiar_prenatal,asignacion_universal_hijo_hijo_discapacitado_trasparencia,asignacion_universal_por_embarazo,titulares_progresar,jubilaciones_sipa_datos_abiertos,pensiones_sipa_datos_abiertos,total_jubilaciones_pensiones_sipa_datos_abiertos,pension_universal_adulto_mayor,asignacion_familiar_hijo_discapacitado,asignacion_familiar_prenatal_datos_abiertos,asignacion_universal_hijo_hijo_discapacitado_datos_abiertos,asignacion_universal_embarazo,prestaciones_seguro_desempleo,ninios_adp,total_aaff_auh,asignacion_universal_hijo_monotributo_social,asignacion_universal_hijo_servicio_domestico,asignacion_universal_hijo_monotributo_soc_servicio_domestico,asignacion_universal_hijo_otra_condicion,total_auh,asignaciones_familiares_suaf_relacion_dependencia,asignaciones_familiares_suaf_monotributo,asignaciones_familiares_desempleo,asignaciones_familiares_pasivos_sipa,asignaciones_familiares_pasivos_ex_combatientes,asignaciones_familiares_pasivos_pension_no_contributiva,total_aaff
2009-01-01,3953767.0,1448047.0,5401814.0,3075101.0,53703.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,3980719.0,1456485.0,5437204.0,3115711.0,52993.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,3989424.0,1467479.0,5456903.0,3158774.0,53891.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,4000360.0,1459223.0,5459583.0,3183378.0,54901.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,4016805.0,1455694.0,5472499.0,3216057.0,56586.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-01,4042876.0,1464213.0,5507089.0,3271121.0,53208.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,4061399.0,1468209.0,5529608.0,3298677.0,54271.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,4085140.0,1472825.0,5557965.0,3316687.0,57329.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,4095550.0,1475296.0,5570846.0,3315549.0,59251.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,4118665.0,1482393.0,5601058.0,3345388.0,61494.0,,,,,,,,,,,,,,,,,,,,,,,,,,
