ejercicio_presupuestario,PIB,finalidad_id,finalidad_desc,funcion_id,funcion_desc,gasto,ultima_actualizacion_fecha 
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,"28535693352,15",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,"107594936046,34",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,"27410520885,29",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,"38040108265,05",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,"212869552852,47",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,"3593106798,42",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,"5026364397,58",02-AGO-21
2020,27481439970000,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,"2067758830,52",02-AGO-21
2020,27481439970000,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,"95227619406,44",02-AGO-21
2020,27481439970000,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,"124196671069,02",02-AGO-21
2020,27481439970000,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,"23889351818,02",02-AGO-21
2020,27481439970000,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,"9664411743,14",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,1,Salud,"335214640360,61",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,"244988434416,61",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,3,Seguridad Social,"3614936857356,59",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,4,Educación y Cultura,"323499960968,98",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,5,Ciencia y Técnica,"65595261966,1",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,6,Trabajo,"15014111137,95",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,"29547041134,99",02-AGO-21
2020,27481439970000,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,"86138526215,87",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería","478274873720,1",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,2,Comunicaciones,"20949917464,23",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,3,Transporte,"282678252150,29",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,4,Ecología y Medio Ambiente,"18095178933,53",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,5,Agricultura,"22632630417,39",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,6,Industria,"137289812749,62",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios","11560297415,04",02-AGO-21
2020,27481439970000,4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,"4205659527,82",02-AGO-21
2020,27481439970000,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,"632691777369,96",02-AGO-21
